medcode	stdterm	attrstring	linkto	comment
600086	 cough persistant 	TT	3628	
600087	 recurrent cough 	TT	3628	
600088	 sputum blood stained 	TTT	4135	
600089	 phlegm bloody 	TT	4135	
600090	 problem breathing 	TT	2931	
600091	 exertional dyspnoea 	TT	2575	
600092	 catarrh bronchial 	TT	3540	
600093	 heart flutter 	TT	16170	
600094	 pain high in chest 	TTIT	374	
600095	 pain upper chest 	TTT	374	
600096	 pain lower chest 	TTT	374	
600097	 pain chest 	TT	374	
600098	 pain heart 	TT	32450	
600099	 heart pain over 	TTT	1865	
600100	 left submammary pain syndrome 	TTTT	1865	
600101	 precordial pain 	TT	1865	
600102	 pleuritic pain 	TT	1059	
600103	 chest pain atypical 	TTT	726	
600104	 retrosternal pain 	TT	1228	
600105	 rib pain 	TT	2519	
600106	 discomfort costal margin 	TTT	8349	
600107	 periorbital oedema 	TT	7927	
600108	 swelling generalised 	TT	31377	
600109	 generalised swelling 	TT	31377	
600110	 vein dilated 	TT	29289	
600111	 reduced excercise tolerance 	TTT	11037	
600112	 cold upper arm 	TTT	7213	
600113	 cold lower extremity 	TTT	7213	
600114	 cold arm 	TT	7213	
600115	 cold hip 	TT	7213	
600116	 cold shoulder 	TT	7213	
600117	 cold elbow 	TT	7213	
600118	 cold wrist 	TT	7213	
600119	 cold thigh 	TT	7213	
600120	 cold knee 	TT	7213	
600121	 cold forearm 	TT	7213	
600122	 cold upper extremity 	TTT	7213	
600123	 cold hand 	TT	4124	
600124	 cold thumb 	TT	4124	
600125	 cold fingers 	TT	4124	
600126	 cold ankle 	TT	4474	
600127	 cold feet 	TT	4474	
600128	 cold foot 	TT	4474	
600129	 cold toe 	TT	4474	
600130	 teeth symptoms 	TT	2648	
600131	 pain tooth 	TT	2293	
600132	 tooth ache 	TT	2293	
600133	 pain alveolus 	TT	2293	
600134	 pain dental 	TT	2293	
600135	 symptoms oral 	TT	3296	
600136	 sore gum 	TT	7892	
600137	 salivation excessive 	TT	16086	
600138	 dribbling mouth 	TT	10804	
600139	 excessive drooling 	TT	10804	
600140	 mouth dry 	TT	2774	
600141	 tongue symptoms 	TT	6113	
600142	 dysphagia lusoria 	TT	1241	
600143	 dysphagia 	T	1241	
600144	 swallowing painful 	TT	18878	
600145	 regurgitation food 	TT	1008	
600146	 regurgitation 	T	1008	
600147	 ulcer trouble 	TT	4643	
600148	 ulcer peptic symptoms 	TTT	4643	
600149	 pain abdomen noncolicky 	TTT	5691	
600150	 symptoms biliary 	TT	930	
600151	 colic biliary 	TT	930	
600152	 pain gallbladder 	TT	930	
600153	 abdominal discomfort 	TT	2383	
600154	 stomach pain 	TT	177	
600155	 bellyache 	T	177	
600156	 pain abdomen 	TT	177	
600157	 pain abdominal wall 	TTT	29352	
600158	 fear of defaecation 	TIT	13018	
600159	 sensation of hunger 	TIT	13018	
600160	 pain hunger 	TT	13018	
600161	 pain iliac fossa 	TTT	421	
600162	 central abdominal pain 	TTT	4617	
600163	 epigastric discomfort 	TT	290	
600164	 symptoms epigastric 	TT	290	
600165	 recurrent epigastric pain 	TTT	290	
600166	 pain epigastrium 	TT	290	
600167	 pain postprandial epigastric 	TTT	290	
600168	 substernal pain 	TT	290	
600169	 pain epigastric radiating back 	TTTT	290	
600170	 pain liver 	TT	24821	
600171	 pain left quadrant abdomen 	TTTT	701	
600172	 right quadrant pain abdomen 	TTTT	3086	
600173	 right iliac fossa pain 	TTTT	1181	
600174	 pain left iliac fossa 	TTTT	2982	
600175	 costal margin pain 	TTT	3978	
600176	 upper quadrant pain 	TTT	3978	
600177	 pain lower quadrant abdomen 	TTTT	22608	
600178	 sick feeling 	TT	5843	
600179	 sick stomach 	TT	6530	
600180	 rumination 	T	19913	
600181	 sickness dietary indiscretion 	TTT	176	
600182	 sickness after alcohol abuse 	TTTT	176	
600183	 vomiting physiological 	TT	176	
600184	 bilious attack 	TT	20168	
600185	 vomiting projectile 	TT	3380	
600186	 vomiting bile 	TT	24284	
600187	 feels bloated 	TT	5821	
600188	 constipation chronic 	TT	1028	
600189	 perianal cyst 	TT	3495	
600190	 symptoms anus referable 	TTT	3495	
600191	 anal symptoms 	TT	3495	
600192	 anus symptoms 	TT	3495	
600193	 faecal staining 	TT	3381	
600194	 soiling faecal 	TT	3381	
600195	 bloody diarrhoea 	TT	5462	
600196	 change in bowel habit 	TITT	910	
600197	 painful defaecation 	TT	8541	
600198	 diarrhoea acute 	TT	192	
600199	 stools loose 	TT	1695	
600200	 toddler diarrhoea 	TT	3689	
600201	 vomiting and diarrhoea 	TIT	2182	
600202	 urinary symptoms 	TT	667	
600203	 nocturia 	T	840	
600204	 enuresis 	T	659	
600205	 nocturnal enuresis 	TT	2213	
600206	 bedwetting 	T	4631	
600207	 involuntary urination 	TT	6161	
600208	 urinary hesitancy 	TT	7487	
600209	 postmicturition dribble 	TT	2756	
600210	 dribbling urine continuously 	TTT	5705	
600211	 dribbling urine 	TT	5705	
600212	 pain urinary system 	TTT	6424	
600213	 urinary pain 	TT	6424	
600214	 pain loin 	TT	526	
600215	 pain kidney 	TT	2600	
600216	 ureteric colic 	TT	815	
600217	 dysuria 	T	532	
600218	 strangury 	T	19930	
600219	 vulvar pain 	TT	3000	
600220	 ovary pain 	TT	5673	
600221	 pressure pelvis 	TT	2781	
600222	 pelvic pain 	TT	2781	
600223	 pain perineum 	TT	29400	
600224	 penis pain 	TT	5132	
600225	 sore penis 	TT	5132	
600226	 scrotal pain 	TT	2707	
600227	 urethra pain 	TT	8433	
600228	 normal vaginal secretion 	TTT	16119	
600229	 secretion urinary excessive 	TTT	4103	
600230	 polyuria 	T	4103	
600231	 vagina dry 	TT	5244	
600232	 vaginal soreness 	TT	1373	
600233	 vaginal discomfort 	TT	1373	
600234	 diuresis 	T	9947	
600235	 marriage infertile 	TT	2957	
600236	 symptoms neurological 	TT	2913	
600237	 impaired concentration 	TT	3328	
600238	 loss interest 	TT	3328	
600239	 indecision habitual 	TT	3328	
600240	 nerves 	T	3586	
600241	 tension preoperative 	TT	514	
600242	 tension 	T	514	
600243	 tension nervous 	TT	514	
600244	 mother harassed 	TT	514	
600245	 harassed 	T	514	
600246	 anxiety 	T	131	
600247	 tension pains 	TT	2585	
600248	 agitation 	T	3881	
600249	 senile agitation 	TT	3881	
600250	 recurrent agitation 	TT	3881	
600251	 stimulated mentally 	TT	5811	
600252	 mood depressed 	TT	1996	
600253	 dejected 	T	4824	
600254	 feeling blue 	TT	4824	
600255	 lost feeling 	TT	4824	
600256	 feeling rejected 	TT	4824	
600257	 feeling low 	TT	4824	
600258	 sinking feeling 	TT	4824	
600259	 despair 	T	4824	
600260	 hopelessness 	T	4824	
600261	 despondency 	T	4824	
600262	 discontented 	T	4824	
600263	 dissatisfied 	T	2930	
600264	 fed up 	TT	2930	
600265	 unhappy 	T	2930	
600266	 death wish for 	TTT	15437	
600267	 memory loss verbal 	TTT	1993	
600268	 memory loss distant past 	TTTT	1993	
600269	 memory loss recent events 	TTTT	1993	
600270	 memory lack of 	TTI	2908	
600271	 temporary loss memory 	TTT	27788	
600272	 sleep delayed 	TT	3523	
600273	 insomnia early 	TT	3523	
600274	 waking early 	TT	4597	
600275	 late insomnia 	TT	4597	
600276	 hallucinosis 	T	1914	
600277	 headache 	T	129	
600278	 headache sinus 	TT	3716	
600279	 virus headache 	TT	17011	
600280	 fear 	T	5347	
600281	 apprehension 	T	20163	
600282	 excessive crying 	TT	2831	
600283	 screaming attacks 	TT	2831	
600284	 crying at night 	TIT	2831	
600285	 excessive crying infant 	TTT	2831	
600286	 weeps a lot 	TTT	2831	
600287	 crying infant 	TT	21820	
600288	 exhaustion emotional 	TT	1449	
600289	 emotional crisis 	TT	1449	
600290	 upset emotional 	TT	3502	
600291	 loneliness 	T	1693	
600292	 lives alone 	TT	2955	
600293	 resents authority 	TT	54172	
600294	 self depreciation 	TT	2147	
600295	 infant fidgety 	TT	8123	
600296	 restlessness 	T	8123	
600297	 ideas of reference 	TIT	20089	
600298	 simple ideas reference 	TTT	20089	
600299	 shaking 	T	2778	
600300	 twitch nervous 	TT	1558	
600301	 weakness 	T	2855	
600302	 muscle weakness 	TT	2855	
600303	 weak 	T	2855	
600304	 weakness abductor polliccis brevis 	TTTT	2855	
600305	 weak hands 	TT	3933	
600306	 weakness arm 	TT	3933	
600307	 weakness leg 	TT	5048	
600308	 weak legs 	TT	5048	
600309	 weakness lower leg 	TTT	5048	
600310	 weakness abdominal 	TT	24211	
600311	 weakness facial motor neurone 	TTTT	2390	
600312	 face limited motion 	TTT	2390	
600313	 weakness facial 	TT	2390	
600314	 hemianaesthesia 	T	27958	
600315	 speech limited 	TT	4085	
600316	 loss of balance standing from bed 	TITTIT	1512	
600317	 loss of balance lying 	TITT	1512	
600318	 loss of balance with cardiac symptoms 	TITITT	1512	
600319	 loss of balance standing / walking 	TITOIO	1512	
600320	 loss of balance any time 	TITTT	1512	
600321	 loss of balance bending 	TITT	1512	
600322	 giddiness standing / walking 	TOIO	23332	
600323	 giddiness any time 	TTT	23332	
600324	 giddiness bending 	TT	23332	
600325	 giddiness lying 	TT	23332	
600326	 giddiness standing from bed 	TTIT	23332	
600327	 giddiness with cardiac symptoms 	TITT	23332	
600328	 giddiness on turning head / looking up 	TITOIOT	23332	
600329	 alert 	T	15317	
600330	 awake 	T	15317	
600331	 faintness standing from bed 	TTIT	16267	
600332	 faintness standing / walking 	TOIO	16267	
600333	 faintness any time 	TTT	16267	
600334	 faintness on turning head / looking up 	TITOIOT	16267	
600335	 faintness bending 	TT	16267	
600336	 faintness lying 	TT	16267	
600337	 faintness with cardiac symptoms 	TITT	16267	
600338	 fit epileptic 	TT	1902	
600339	 faintness 	T	163	
600340	 vision double 	TT	3553	
600341	 vision temporary loss 	TTT	1714	
600342	 eye appearance abnormal 	TTT	5882	
600343	 eye socket discharge 	TTT	5930	
600344	 itch eyelid 	TT	6385	
600345	 itch eye 	TT	4984	
600346	 irritation eye 	TT	4984	
600347	 eye irritation 	TT	4984	
600348	 watery eyes 	TT	1460	
600349	 eye problem 	TT	391	
600350	 vocabulary poor 	TT	2107	
600351	 agrammatism 	T	2107	
600352	 speech oesophageal 	TT	2107	
600353	 speech defect 	TT	2107	
600354	 backward speech psychogenic 	TTT	2107	
600355	 disorder speech 	TT	2107	
600356	 headache frontal 	TT	130	
600357	 sinus pain 	TT	5754	
600358	 occipital pain 	TT	1788	
600359	 headache occipital 	TT	1788	
600360	 ache back of head 	TTIT	1788	
600361	 occipital neuralgia 	TT	1788	
600362	 ache head parietal 	TTT	9048	
600363	 temporal headache 	TT	3340	
600364	 throbbing headache 	TT	5335	
600365	 morning headache 	TT	4949	
600366	 heavy headed 	TT	17536	
600367	 thoughts harmful 	TT	19406	
600368	 suicidal thoughts 	TT	1712	
600369	 suicidal ideation 	TT	1712	
600370	 thoughts morbid 	TT	29424	
600371	 suicidal plans 	TT	4067	
600372	 threat suicidal 	TT	5589	
600373	 life difficulties 	TT	8758	
600374	 ideas guilty 	TT	15631	
600375	 mood delusional 	TT	1915	
600376	 pregnancy delusions 	TT	1915	
600377	 paranoid delusions 	TT	1915	
600378	 thought disorder 	TT	1915	
600379	 memories delusional 	TT	1915	
600380	 delusional confabulation 	TT	1915	
600381	 fantastic delusions 	TT	1915	
600382	 religious delusions 	TT	1915	
600383	 smells delusional 	TT	1915	
600384	 delusion 	T	1915	
600385	 persecution delusions 	TT	1915	
600386	 delusions catastrophe 	TT	1915	
600387	 grandiose delusions 	TT	1915	
600388	 primary delusions 	TT	1915	
600389	 reference delusions 	TT	1915	
600390	 delusions assistance 	TT	1915	
600391	 olfactory delusions 	TT	1915	
600392	 delusions control 	TT	1915	
600393	 elaborations delusions 	TT	1915	
600394	 delusions 	T	1915	
600395	 misidentification delusional 	TT	1915	
600396	 misinterpretation delusional 	TT	1915	
600397	 grandiose idenity delusions 	TTT	1915	
600398	 guilt delusions 	TT	1915	
600399	 blunted affect 	TT	21124	
600400	 worrying 	T	2524	
600401	 chronic worrier 	TT	2524	
600402	 deaf one ear 	TTT	1681	
600403	 slightly deaf 	TT	1774	
600404	 partially deaf 	TT	1774	
600405	 deaf both ears 	TTT	4035	
600406	 ear blocked sensation 	TTT	3917	
600407	 plugged feeling ear 	TTT	3917	
600408	 stopped up ears sensation 	TTTT	3917	
600409	 popping in ear 	TIT	4064	
600410	 ear buzzing 	TT	3494	
600411	 itch ear 	TT	1403	
600412	 sneezing intractable 	TT	15757	
600413	 epistaxis recurrent 	TT	4594	
600414	 nose blocked 	TT	1824	
600415	 stopped up nose 	TTT	1824	
600416	 stuffy nose 	TT	1824	
600417	 nose drippy 	TT	25364	
600418	 postnasal drip 	TT	4016	
600419	 throat scratchy 	TT	5755	
600420	 sore throat acute 	TTT	404	
600421	 laryngeal discomfort 	TT	5553	
600422	 voice hoarseness 	TT	2246	
600423	 sensation choking 	TT	6722	
600424	 pain nasopharynx 	TT	386	
600425	 throat blockage 	TT	5415	
600426	 throat constriction 	TT	5415	
600427	 throat irritation 	TT	1499	
600428	 sinus pressure 	TT	7127	
600429	 stopped up sinuses 	TTT	7127	
600430	 sinuses impacted 	TT	7127	
600431	 pressure ear 	TT	9584	
600432	 stiffness 	T	2928	
600433	 asymptomatic 	T	6442	
600434	 examination normal 	TT	4274	
600435	 myxoedematous facial features 	TTT	4146	
600436	 cushingoid appearance 	TT	4404	
600437	 skin rings 	TT	6337	
600438	 rash allergic 	TT	1243	
600439	 pruritus itchy rash 	TTT	4277	
600440	 skin cold 	TT	8145	
600441	 cold skin 	TT	8145	
600442	 skin clammy 	TT	8145	
600443	 odour body 	TT	6810	
600444	 wandering patient 	TT	4874	
600445	 delirium 	T	5367	
600446	 consciousness clouding 	TT	22867	
600447	 fluctuating conscious level 	TTT	18184	
600448	 screening stress examination abnormal 	TTTT	13121	
600449	 screening stress examination normal 	TTTT	13121	
600450	 irritable infant 	TT	1149	
600451	 irritability 	T	1149	
600452	 resentful 	T	13122	
600453	 gross excitement 	TT	32585	
600454	 high feeling 	TT	32585	
600455	 euphoria 	T	32585	
600456	 colour ashen 	TT	25046	
600457	 skin macerated perianal 	TTT	31333	
600458	 lips abnormal colour 	TTT	17924	
600459	 lips blue 	TT	4282	
600460	 fingers blueness 	TT	23927	
600461	 toe blueness 	TT	2647	
600462	 screening weight normal 	TTT	23376	
600463	 overweight 	T	2839	
600464	 stasis oedema ankle 	TTT	1906	
600465	 swelling ankles oedema 	TTT	1906	
600466	 oedema feet 	TT	1284	
600467	 oedema legs 	TT	19358	
600468	 oedema legs due to obstruction 	TTIIT	19358	
600469	 oedema leg unilateral 	TTT	29264	
600470	 oedema scrotum congenital 	TTT	6764	
600471	 scrotum oedematous 	TT	6764	
600472	 swelling eyes periorbital 	TTT	8749	
600473	 oedema face 	TT	8749	
600474	 oedema hands 	TT	29444	
600475	 regrowing hair 	TT	17201	
600476	 hair dry 	TT	31372	
600477	 hair facial 	TT	5330	
600478	 eye appearance cloudy 	TTT	4439	
600479	 eye protrusion abnormal 	TTT	20675	
600480	 proptosis bilateral 	TT	2853	
600481	 proptosis 	T	2853	
600482	 proptosis right 	TT	2853	
600483	 proptosis left 	TT	2853	
600484	 eye protrusion 	TT	2853	
600485	 eye absent 	FF	3839	
600486	 absence eye acquired 	TTT	3839	
600487	 skull enlarged circumference 	TTT	31448	
600488	 asymmetry head 	TT	23537	
600489	 swelling parotid gland 	TTT	3545	
600490	 parotid swelling 	TT	3545	
600491	 submandibular gland enlarged 	TTT	1860	
600492	 thyroid lump 	TT	728	
600493	 normal growth 	TT	2583	
600494	 well nourished 	TT	2583	
600495	 normal milestones 	TT	2583	
600496	 normal development 	TT	2583	
600497	 puberty normal 	TT	26093	
600498	 development slow 	TT	4190	
600499	 milestones late 	TT	4190	
600500	 toilet training problem 	TTT	16505	
600501	 violent death 	TT	7847	
600502	 died 	T	1127	
600503	 patient died 	TT	1448	
600504	 sudden death 	TT	23075	
600505	 wound surgical healing normal 	TTTT	15251	
600506	 healing wound normal 	TTT	15251	
600507	 delayed healing 	TT	4584	
600508	 delayed treatment cut 	TTT	27737	
600509	 laceration delayed healing 	TTT	27737	
600510	 wound accidental healing delayed 	TTTT	27737	
600511	 delayed healing cut 	TTT	27737	
600512	 care poor 	TT	23530	
600513	 clean and tidy 	TIT	35615	
600514	 laboured breathing 	TT	33825	
600515	 prolonged expiration 	TT	17718	
600516	 hunger air 	TT	17718	
600517	 chest expansion abnormal 	TTT	27487	
600518	 bradypnoea 	T	52223	
600519	 asymmetry chest wall 	TTT	5358	
600520	 fixed chest 	TT	5358	
600521	 pigeon chest 	TT	12779	
600522	 sternum depressed 	TT	2171	
600523	 chest barrel 	TT	28433	
600524	 percussion lung dull 	TTT	21819	
600525	 sounds breathing 	TT	2909	
600526	 vesicular respiratory murmur 	TTT	21407	
600527	 rhonchi 	T	4626	
600528	 bronchospasm allergic 	TT	1692	
600529	 rub pleural 	TT	8228	
600530	 on examination rs problem detected 	IITTT	41449	
600531	 consolidation lung 	TT	4974	
600532	 pulmonary fibrosis 	TT	2680	
600533	 normal heart 	TT	1817	
600534	 slow pulse 	TT	13608	
600535	 decreased pulse rate 	TTT	13608	
600536	 pulse fast 	TT	26716	
600537	 pulse increased 	TT	26716	
600538	 pulse irregular 	TT	2550	
600539	 pulse bounding 	TT	15145	
600540	 pulse decreased 	TT	15300	
600541	 pulse absent 	FF	34820	
600542	 blood pressure recorded 	TTT	1	
600543	 low blood pressure 	TTT	5341	
600544	 blood pressure normal 	TTT	859	
600545	 normotensive 	T	859	
600546	 hypertension borderline 	TT	3481	
600547	 increased blood pressure 	TTT	5020	
600548	 transient high blood pressure 	TTTT	5020	
600549	 hypertension diastolic 	TT	22595	
600550	 blood pressure taken lying down 	TTTTT	14640	
600551	 blood pressure taken standing 	TTTT	14641	
600552	 blood pressure taken sitting 	TTTT	14642	
600553	 decreased blood pressure 	TTT	27273	
600554	 blood pressure labile 	TTT	25553	
600555	 carotid bruit 	TT	2714	
600556	 murmur femoral 	TT	21121	
600557	 heart click 	TT	4039	
600558	 rhythm gallop 	TT	13296	
600559	 heart sounds abnormal 	TTT	20187	
600560	 murmur heart austin flint 	TTTT	291	
600561	 murmur cardiac 	TT	291	
600562	 murmur aortic 	TT	3138	
600563	 systolic murmur 	TT	894	
600564	 murmur systolic 	TT	894	
600565	 systolic murmur soft 	TTT	157	
600566	 murmur diastolic 	TT	19572	
600567	 functional heart murmur 	TTT	3982	
600568	 murmur heart functional 	TTT	3982	
600569	 soft pulmonary murmur 	TTT	4857	
600570	 pulse popliteal absent 	FFF	13348	
600571	 on examination abdomen clear 	IITT	5699	
600572	 splitting lips 	TT	12456	
600573	 lips dry 	TT	10351	
600574	 swelling lip 	TT	4881	
600575	 lip colour abnormal 	TTT	29532	
600576	 ulcer palate 	TT	9434	
600577	 rash mouth 	TT	17197	
600578	 gingival bleeding 	TT	29281	
600579	 gums bleeding 	TT	29281	
600580	 ulcer tongue 	TT	12164	
600581	 tongue colour abnormal 	TTT	31350	
600582	 pendulous abdomen 	TT	29262	
600583	 palpable aorta 	TT	15282	
600584	 tender ascending colon 	TTT	5782	
600585	 tender abdomen 	TT	5782	
600586	 tender transverse colon 	TTT	5782	
600587	 tender descending colon 	TTT	5782	
600588	 tender colon 	TT	5782	
600589	 murphy sign positive 	TTT	12639	
600590	 peritonism 	T	24584	
600591	 colon palpable 	TT	8731	
600592	 mass rif 	TT	20827	
600593	 rectal examination normal 	TTT	8689	
600594	 enlarged prostate 	TT	1068	
600595	 rectal mass 	TT	1987	
600596	 swelling rectal 	TT	1987	
600597	 rectal examination abnormal 	TTT	24713	
600598	 borborygmus 	T	1370	
600599	 giordano sign 	TT	6441	
600600	 giordano sign negativeative 	TTT	6441	
600601	 giordano sign positive 	TTT	6441	
600602	 kidney enlarged 	TT	29311	
600603	 tenderness renal bed 	TTT	17029	
600604	 distention bladder 	TT	14755	
600605	 vaginal mass 	TT	19148	
600606	 swelling scrotum 	TT	4322	
600607	 cyst scrotum 	TT	16571	
600608	 testis swelling 	TT	2015	
600609	 examination testicles abnormal 	TTT	2015	
600610	 examination testes abnormal 	TTT	2015	
600611	 testicular self exam abnormal 	TTTT	2015	
600612	 testicular examination abnormal 	TTT	2015	
600613	 swelling epididymis 	TT	4162	
600614	 testicular examination normal 	TTT	2516	
600615	 testicular self examination normal 	TTTT	2516	
600616	 examination testicles normal 	TTT	2516	
600617	 testes descended 	TT	18875	
600618	 testicles small 	TT	20796	
600619	 swelling penis 	TT	4705	
600620	 vulvar mass 	TT	29265	
600621	 gynaecological examination 	TT	2885	
600622	 swelling ovarian 	TT	15861	
600623	 ovary enlarged 	TT	15861	
600624	 uterine tender 	TT	24030	
600625	 vaginal discharge brown 	TTT	1170	
600626	 breast exam nad recheck 	TTTT	1386	
600627	 lactating breast normal 	TTT	15671	
600628	 irregular nodularity breast 	TTT	2149	
600629	 lumpy breasts 	TT	1085	
600630	 ulcer breast 	TT	25753	
600631	 breast exam abnormal recheck 	TTTT	3443	
600632	 sore nipple 	TT	4496	
600633	 nipple inflammation 	TT	4496	
600634	 pain nipple 	TT	17269	
600635	 haemorrhage nipple 	TT	5001	
600636	 nipple bleeding 	TT	5001	
600637	 foetal movements stopped 	TTT	2437	
600638	 foetal movements normal 	TTT	25153	
600639	 foetal movements felt 	TTT	25153	
600640	 foetal movements decreased 	TTT	27801	
600641	 foetal heart heard 	TTT	7681	
600642	 foetal heart normal 	TTT	26707	
600643	 weak muscle 	TT	16479	
600644	 spastic diplegia 	TT	3621	
600645	 disorientation 	T	1694	
600646	 dreamy 	T	1694	
600647	 confusion 	T	3991	
600648	 neurotic condition insight into 	TTTT	15811	
600649	 psychotic condition insight into 	TTTT	4390	
600650	 poor insight into neurotic condition 	TTTTT	5274	
600651	 partial lack of insight 	TIIF	5274	
600652	 lack of insight 	IIF	5274	
600653	 no insight into neurotic condition 	IFTTT	5274	
600654	 psychotic condition poor insight into 	TTTTT	22644	
600655	 psychotic condition no insight into 	TTIFT	22644	
600656	 posturing 	T	12223	
600657	 unco operative 	TT	10581	
600658	 suspicion 	T	27428	
600659	 world going too fast 	TTTT	46712	
600660	 perplexity 	T	46712	
600661	 poor concentration 	TT	4863	
600662	 difficulty in concentration 	TIT	4863	
600663	 easily distractible 	TT	4863	
600664	 recent loss intrest 	TTT	4863	
600665	 embarrassing behavior 	TT	20090	
600666	 relaxed arms 	TT	36446	
600667	 muscle tone increased 	TTT	16156	
600668	 trismus 	T	9449	
600669	 rigidity extrapyramidal 	TT	20242	
600670	 symptoms extra pyramidal 	TTT	20242	
600671	 cogwheel rigidity arm 	TTT	20242	
600672	 hypertonicity 	T	4497	
600673	 tension muscular 	TT	4497	
600674	 spastic 	T	24738	
600675	 tremor fine 	TT	10653	
600676	 tremor flapping 	TT	5604	
600677	 tremor intention 	TT	20102	
600678	 tremor pillrolling 	TT	10718	
600679	 tremor parkinsonian 	TT	10718	
600680	 winged scapula 	TT	22312	
600681	 posture parkinsonian 	TT	17004	
600682	 parkinsonian facial features 	TTT	17004	
600683	 absence feeling 	TT	29336	
600684	 touch loss of sense of 	TTITI	29336	
600685	 sensation anaesthesia 	TT	29336	
600686	 sensory loss in leg 	TTIT	29320	
600687	 numbness extremities 	TT	5447	
600688	 sense absence cold 	TTT	2221	
600689	 dysaesthesia 	T	2221	
600690	 sense absence heat 	TTT	2221	
600691	 disturbance touch 	TT	2221	
600692	 paraesthesia hands 	TT	4812	
600693	 nocturnal paraesthesia hands 	TTT	4812	
600694	 touch and pin prick impaired sensation 	TITTTT	46660	
600695	 vibration sense absent 	FFF	13155	
600696	 walking heel to toe 	TTIT	8024	
600697	 walking heel to toe normal 	TTITT	33686	
600698	 walking heel to toe abnormal 	TTITT	20008	
600699	 rombergism 	T	30082	
600700	 unsteadiness balance 	TT	2042	
600701	 loss of balance 	TIT	2555	
600702	 imbalance when erect 	TTT	2555	
600703	 loss of equilibrium 	TIT	2555	
600704	 equilibrium loss of sense of 	TTITI	2555	
600705	 imbalance 	T	2555	
600706	 disturbance equilibrium 	TT	2555	
600707	 balance loss of sense of 	TTITI	2555	
600708	 clumsiness 	T	4279	
600709	 slow and clumsy 	TIT	4279	
600710	 grasp reflex 	TT	22537	
600711	 reflexes lower limb absent 	FFFF	16054	
600712	 areflexia 	T	16054	
600713	 reflex absent 	FF	16054	
600714	 tendon reflexes increased 	TTT	23600	
600715	 hyperreflexia 	T	23600	
600716	 diminished ankle jerk 	TTT	5231	
600717	 ankle jerks absence 	TTT	5230	
