text	read	priority	comment
bcc	basal cell carcinoma	4	
bcg	b c g	5	
bcg	tuberculosis vaccination	5	
been a e	casualty self referral	1	
been hosp	recently in hospital	1	
been hospital	recently in hospital	1	
been in	inpatient	2	
been in hosp	recently in hospital	2	
been in hospital	recently in hospital	2	
been to a and e	casualty self referral	4	
behav	behaviour	4	
behaviour	behav	4	
bengn prostatic hypertrophy	b p h	4	
benifit	benefit	2	
benign prostatic hypertrophy	b p h	4	
benign prostatic hypertrophy	bph	4	
bicycle	pedal cycle	5	
big toe	great toe	5	
big toe	toe	1	
bladder outflow obstruction	b o o	4	
bladder outflow obstruction	boo	4	
bleed	bleeding	5	
bleed	haemorrhage	4	
bleeding	bleed	5	
bleeding	haemorrhage	4	
bleeding p v	bleeding vaginal	4	
bleeding pv	bleeding vaginal	4	
bleeding vaginal	bleeding p v	4	
bleeding vaginal	bleeding pv	4	
bleeding vaginal	bpv	3	
block	blockage	5	
block	blocked	5	
blockage	block	5	
blocked	block	5	
blocked	disease	2	
bnp	brain natriuretic peptide	4	
body lice	pediculus corporis	3	
body surface	bs	4	
boo	bladder outflow obstruction	4	
borderline smear	cerv smear borderline changes	3	
bowel	colon	3	
bp	blood pressure	2	
bph	benign prostatic hypertrophy	4	
bpv	bleeding vaginal	3	
brain natriuretic peptide	b n p	4	
brain natriuretic peptide	bnp	4	
brainstem cva	brainstem infarction	5	
brainstem infarction	brainstem cva	5	
breast feeding	performs breast feeding	3	
breastfeeding	breast feeding	3	
breastfeeding	performs breast feeding	3	
breastfeeds	performs breast feeding	3	
breathless	breathlessness	4	
breathless	dyspnoea	5	
breathless	sob	4	
breathlessness	breathless	4	
breathlessness	dyspnoea	5	
breathlessness	sob	4	
broke	fracture	2	
broken	fractured	3	
bronchial	bronchus	5	
bronchiecta	bronchiectasis	3	
broncho pneumonia	bronchopneumonia	5	
bronchonpneumonia	bronchopneumonia	2	
bronchopneumonia	broncho pneumonia	5	
bronchus	bronchial	5	
brst	breast	2	
bs	body surface	4	
bs normal	bowel sounds normal	1	
bundle branch block	b b b	4	
bundle branch block	bbb	4	
c 3	third cervical	5	
c 4	fourth cervical	5	
c 5	fifth cervical	5	
c 6	sixth cervical	5	
c 7	seventh cervical	5	
c a b g	coronary artery bypass graft	4	
c a d	coronary artery disease	4	
c c f	congestive cardiac failure	5	
c h d	coronary heart disease	4	
c n s	central nervous system	4	
c o a d	chronic obstructive airways disease	5	
c o a d	chronic obstructive pulmonary disease	5	
c o p d	chronic obstructive pulmonary disease	5	
c p n	community psychiatric nurse	5	
c r f	chronic renal failure	4	
c v a	cerebrovascular accident	4	
c v a	stroke	4	
ca	cancer	4	
ca	malignant neoplasm	4	
ca	neoplasm malignant	3	
ca tosis	carcinomatosis	2	
cabg	coronary artery bypass graft	4	
cad	coronary artery disease	4	
caecal	caecum	4	
caecal	cecal	4	
caecum	caecal	4	
caecum	cecal	4	
calcification	calculi	2	
calcification	calculus	2	
calculi	calcification	2	
calculi	stones	3	
cancer	malig neop	3	
cancer	malignancy	5	
cancer	malignant neoplasm	4	
cancer	neoplasm malignant	3	
carcin	carcinoma	3	
carcino embryonic antigen	cea	3	
carcinoma	malignant neoplasm	3	
card	cardiac	1	
cardiac	heart	3	
cardiac	of the heart	3	
cardiac fail	cardiac failure	3	
cardio respiratory	cardiorespiratory	5	
cardiopulmonary	cardio respiratory	2	
cardiopulmonary arrest	cardio respiratory arrest	3	
cardiorespiratory	cardio respiratory	5	
cardiovascular	cvs	4	
cardiovascular disease	cvd	4	
cardiovascular system	cvs	4	
carpal tunnel syndrome	cts	2	
casualty	a and e	5	
casualty	a and e department	5	
casualty	accident emergency	5	
casualty self referral	been to a and e	4	
casualty self referral	went to a and e	4	
caused by	due to	5	
causing	resulting in	5	
ccf	congestive cardiac failure	5	
ccnjunctivitis	conjunctivitis	2	By R code
cdh	congenital dislocation of hip	4	
cea	carcino embryonic antigen	3	
cecal	caecal	4	
cecal	caecum	4	
central nervous system	c n s	4	
central nervous system	cns	4	
cerebellar	cerebellum	5	
cerebellum	cerebellar	5	
cerebral	brain	3	
cerebral	cerebrum	5	
cerebral	intracranial	2	
cerebralvascular	cerebrovascular	2	
cerebro vascular	cerebrovascular	5	
cerebrovascular	cerebro vascular	5	
cerebrovascular accident	c v a	4	
cerebrovascular accident	cva	4	
cerebrum	cerebral	5	
cerfified	certified	2	
certificate	certification	5	
certification	certificate	5	
cerv	cervical	4	
cervical	cerv	4	
cervical	cervix	2	
cervical	neck	2	
cervical cancer	malignant neoplasm of cervix uteri	5	
cervical lymph	cervix	-100	
cervical vertebra	cervix	-100	
cervix	cervical	2	
cervix	cervical lymph	-100	
cervix	cervical vertebra	-100	
cervix	cervix uteri	4	
cervix uteri	cervix	3	
cervix uteri	neck	-100	
cfs	chronic fatigue syndrome	3	
chd	coronary heart disease	4	
checken pox	chickenpox	2	
chest	respiratory	2	
chest inf	chest infection	3	
chewing ok	no problem chewing	3	
chewing satisfactory	no problem chewing	3	
chicken pox	chickenpox	5	
chickenpox	chicken pox	5	
childb	childbirth	4	
childbirth	childb	4	
chiropodist	chiropody	5	
chiropody	chiropodist	5	
cholangio carcinoma	cholangiocarcinoma	5	
cholangiocarcinoma	cholangio carcinoma	5	
chron	chronic	4	
chronic	chron	4	
chronic airways disease	chronic obstructive pulmonary disease	2	
chronic fatigue syndrome	cfs	3	
chronic obstructive airways disease	c o a d	5	
chronic obstructive airways disease	coad	5	
chronic obstructive pulmonary disease	c o a d	5	
chronic obstructive pulmonary disease	c o p d	5	
chronic obstructive pulmonary disease	coad	5	
chronic obstructive pulmonary disease	copd	5	
chronic renal failure	c r f	4	
chronic renal failure	crf	4	
cin 1	cin i ii cervical dysplasia	3	
cin 11	cin i ii cervical dysplasia	3	
cin 111	cin iii carcinoma in situ of cervix	3	
cin i	cin i ii cervical dysplasia	3	
cin ii	cin i ii cervical dysplasia	3	
cin iii	cin iii carcinoma in situ of cervix	3	
circuflex	circumflex	3	
circumflex	circumflex artery	5	
circumflex	circumflex coronary artery	5	
circumflex	left circumflex coronary artery	5	
circumflex a	circumflex coronary artery	5	
circumflex artery	circumflex	5	
circumflex artery	circumflex coronary artery	5	
circumflex coronary artery	circumflex	5	
circumflex coronary artery	circumflex a	5	
circumflex coronary artery	circumflex artery	5	
circumflex coronary artery disease	circumflex stenosis	5	
circumflex stenosis	circumflex coronary artery disease	5	
clarif	clarification	5	
clarification	clarif	5	
clinic	outpatients	5	
closed	cls	2	
cls	closed	2	
cmv	cytomegalovirus	4	
cns	central nervous system	4	
coad	chronic obstructive airways disease	5	
coad	chronic obstructive pulmonary disease	5	
coad	copd	5	
cocaine	adverse reaction to cocaine	1	
cocaine	cocaine misuse	3	
cocaine	cocaine use	3	
cocaine misuse	cocaine	3	
cocaine use	cocaine	3	
coivd	covid 19	2	COVID-19
coll	collision	3	
collpse	collapse	2	
colon	bowel	3	
colon	colonic	5	
colonic	colon	5	
common variable immunodeficiency	cvid	4	
community psychiatric nurse	c p n	5	
community psychiatric nurse	cpn	5	
comp	complication	3	
complicated by	resulting in	5	
congenital dislocation of hip	cdh	4	
congestive cardiac failure	c c f	5	
congestive cardiac failure	ccf	5	
conjunctivitis	ccnjunctivitis	2	By R code
consc	consciousness	3	
consciousness	consc	3	
contact	exposure	1	
copd	chronic obstructive pulmonary disease	5	
copd	coad	5	
coronaries	coronary arteries	4	
coronaries	coronary artery	2	
coronaries	coronary vessels	5	
coronary	coronary arteries	2	
coronary	coronary artery	2	
coronary	coronary vessels	3	
coronary	of the heart	3	
coronary arteries	coronaries	4	
coronary arteries	coronary	2	
coronary arteries	coronary vessels	5	
coronary artery	coronaries	2	
coronary artery	coronary	2	
coronary artery	coronary vessel	5	
coronary artery bypass graft	c a b g	4	
coronary artery bypass graft	cabg	4	
coronary artery disease	c a d	4	
coronary artery disease	cad	4	
coronary artery disease	coronary disease	3	
coronary artery disease three vessel	triple vessel disease of the heart	5	
coronary atheroma	coronary artery atheroma	2	
coronary heart disease	c h d	4	
coronary heart disease	chd	4	
coronary vessel	coronary artery	5	
coronary vessel disease	vessel coronary artery disease	5	
coronary vessels	coronaries	5	
coronary vessels	coronary	3	
coronary vessels	coronary arteries	5	
coronavirus disease 19	covid 19	5	COVID-19
cov	covid 19	2	COVID-19
cov 19	covid 19	4	COVID-19
covd	covid 19	2	COVID-19
covi 19	covid 19	4	COVID-19
covid	covid 19	3	COVID-19
covid 19	disease caused by covid 19	4	COVID-19
cpn	community psychiatric nurse	5	
crabs	pubic lice	3	
crackles	crepitations	4	
crem form	cremation form	5	
cremation form	crem form	5	
crepitations	crackles	4	
crf	chronic renal failure	4	
critical ischaemia	ischaemia	2	
cronoary	coronary	2	
cruciate	cruciate ligament of knee	2	
cruciate ligament	cruciate ligament of knee	3	
crush	crushed	4	
crushed	crush	4	
cts	carpal tunnel syndrome	2	
current	currently	5	
currently	current	5	
cva	cerebrovascular accident	4	
cva	stroke	4	
cvd	cardiovascular disease	4	
cvid	common variable immunodeficiency	4	
cvs	cardiovascular	4	
cvs	cardiovascular system	4	
cytomegalovirus	cmv	4	
d i c	disseminated intravascular coagulation	5	
d n a	did not attend	5	
d u	duodenal ulcer	4	
d v t	deep vein thrombosis	4	
daibetes	diabetes	2	
death certificate	med a	5	
deceased	dead	3	
deep vein thrombosis	d v t	4	
deep vein thrombosis	dvt	4	
deficiency	deficient	4	
deficient	deficiency	4	
degenerative joint disease	arthritis	3	
del	delivery	4	
delay	delays	4	
delays	delay	4	
deliv	delivery	5	
delive	delivery	5	
delivery	del	4	
delivery	deliv	5	
delivery	delive	5	
dental	tooth	3	
dependant	dependent	2	By R code
dependent	dependant	2	By R code
depressn	depression	3	
deression	depression	1	
dermographia	dermographism	5	
dermographism	dermographia	5	
detected	positive	4	
development	developmental	4	
developmental	development	4	
diabetes	diabetes mellitus	3	
diabetes	diabetic	3	
diabetes insipidus	diabetes mellitus	-100	
diabetes mellitus	diabetes	3	
diabetes mellitus	diabetes insipidus	-100	
diabetic	diabetes	3	
diarrh	diarrhoea	5	
diarrhoea	diarrh	5	
diarrhoea	diarrhoea symptom	4	
diarrhoea	diarrhoea symptoms	4	
diarrhoea symptom	diarrhoea	4	
diarrhoea symptoms	diarrhoea	4	
diazepam	drug	1	
dic	disseminated intravascular coagulation	5	
did not	didn t	5	
did not attend	d n a	5	
did not attend	dna	5	
did not attend	poor attender	3	
didn t	did not	5	
died	patient died	3	
died in	patient died in	3	
diff	differential	3	
differential	diff	3	
dip	distal interphalangeal	5	
dis	disease	4	
disc space	intervertebral disc space	5	
disch	discharge	5	
discha	discharge	3	
discharge	disch	5	
discharge	discharged	4	
discharge home	discharged from inpatient care	2	
discharged	discharge	4	
discharged	discharged from follow up	2	
discharged home	discharged from inpatient care	2	
discomfort	symptoms	2	
discrim	discrimination	5	
discrimination	discrim	5	
diseas	disease	3	
disease	dis	4	
disease	diseases	5	
disease	lesion	2	
disease caused by covid 19	covid 19	4	COVID-19
disease due to covid 19	covid 19	4	COVID-19
diseaseand	disease	1	
diseaseand	disease and	2	
diseased	lesion	2	
diseased vessel	coronary vessel disease	2	
diseased vessel	vessel disease	5	
diseased vessels	coronary vessel disease	2	
diseased vessels	vessel disease	5	
diseases	disease	5	
dislocated	dislocation	5	
dislocation	dislocated	5	
disorder	illness	2	
disorder	syndrome	1	
dissecting aortic aneurysm	aortic dissection	5	
disseminated intravascular coagulation	d i c	5	
disseminated intravascular coagulation	dic	5	
dist	distal	3	
distal	proximal	-100	
distal humerus	lower end of humerus	3	
distal interphalangeal	dip	5	
distal radius	lower end of radius	3	
distal ulna	lower end of ulna	3	
div disease	diverticular disease	3	
divertic	diverticular	3	
dna	did not attend	5	
does not	doesn t	5	
doesn t	does not	5	
dorsalis pedis	dorsalis pedis pulse	5	
dorsalis pedis pulse	dorsalis pedis	5	
double	2	1	
double	two	1	
drinker	drinks	3	
drinks	drinker	3	
drooping	droopy	3	
droopy	drooping	3	
du	duodenal ulcer	4	
ductal	intraductal	2	
due to	caused by	5	
due to	resulting from	5	
due to cocaine	adverse reaction to cocaine	3	
duodenal	duodenum	5	
duodenal ulcer	d u	4	
duodenal ulcer	du	4	
duodenum	duodenal	5	
dvt	deep vein thrombosis	4	
dysfunction	impairment	3	
dyspnoea	breathless	5	
dyspnoea	breathlessness	5	
dyspnoea	short of breath	5	
e coli	escherichia coli	5	
e t t	exercise tolerance test	4	
ebv	epstein barr virus	4	
ecg	electrocardiogram	4	
ecg showed	ecg	2	
ecg shows	ecg	2	
echo	echocardiogram	5	
echo	echocardiogram shows	2	
echocardiogram	echo	5	
eczema	eczematous	2	
eczematous	eczema	2	
egg exclusion	egg free diet	3	
elbow	arm	1	
elbow	elbow joint	5	
elbow	upper limb	1	
elbow joint	elbow	5	
electrocardiogram	ecg	4	
elev	elevation	3	
embol	embolism	2	
embol	embolus	2	
emboli	embolus	4	
embolism	embolus	4	
embolus	emboli	4	
embolus	embolism	4	
emerg	emergency	5	
emerg gynae cinic	gynaecology clinic	2	
emergency	a and e	5	
emergency	emerg	5	
emergency department	a and e department	4	
emergency gynae cinic	gynaecology clinic	3	
endometrial	endometrium of corpus uteri	4	
endometrium	endometrium of corpus uteri	4	
endometrium of corpus uteri	endometrial	4	
endometrium of corpus uteri	endometrium	4	
enlarged	enlargement	5	
enlargement	enlarged	5	
epigastric	epigastrium	5	
epigastrium	epigastric	5	
epistaxes	epistaxis	3	
epistaxis	nose bleed	4	
epstein barr virus	ebv	4	
erratic	irregular	4	
esch	escherich	5	
esch	escherichia	5	
escherich	esch	5	
escherich	escherichia	5	
escherichia	esch	5	
escherichia	escherich	5	
escherichia coli	e coli	5	
etoh	alcohol	3	
ett	exercise tolerance test	4	
exacerbation	acute exacerbation	3	
examination	examined	4	
examined	examination	4	
exercise tolerance test	e t t	4	
exercise tolerance test	ett	4	
exertion	exertional	5	
exertional	exertion	5	
exposure	contact	1	
f s h	follicle stimulating hormone	4	
factor 2	factor ii	5	
factor ii	factor 2	5	
failur	failure	2	
failure	impaired	3	
failure	impairment	3	
failure impairment	impairment	3	
failure to thrive	ftt	4	
failurre	failure	2	
fall from	falling off	5	
falling off	fall from	5	
fathr	father	3	
faulire	failure	2	
feeding	feeds	5	
feeds	feeding	5	
femoral	femur	5	
femur	femoral	5	
fetal	foetal	5	
fetal	foetus	5	
fetus	foetal	5	
fetus	foetus	5	
fever	fever symptom	4	
fever	fever symptoms	4	
fever	pyrexia	5	
fever symptom	fever	4	
fever symptoms	fever	4	
fib	fibula	2	
fibroadenosis	fibroadenosis of breast	3	
fibula	fibular	5	
fibular	fibula	5	
fifth cervical	c 5	5	
fifth lumbar	l 5	5	
finger	hand	1	
finger	toe	-100	
first	1 st	5	
first lumbar	l 1	5	
flu	influenza	5	
flushed	flushes	4	
flushes	flushed	4	
flushes	flushes symptom	4	
flushes	flushes symptoms	4	
flushes symptom	flushes	4	
flushes symptoms	flushes	4	
fmf	foetal movement felt	2	
foetal	fetal	5	
foetal	fetus	5	
foetus	fetal	5	
foetus	fetus	5	
follicle stimulating hormone	f s h	4	
follicle stimulating hormone	fsh	3	
following	after	5	
foot	hand	-100	
foot	leg	1	
foot	lower limb	1	
fore arm	forearm	5	
forearm	arm	1	
forearm	fore arm	5	
forearm	upper limb	1	
form	certificate	3	
four	4	5	
fourth cervical	c 4	5	
fourth lumbar	l 4	5	
fourth toe	toe	2	
fr	from	3	
frac	fracture	3	
frac	fractured	3	
fract	fracture	3	
fracture	fract	3	
fracture	fractured	5	
fracture	fractures	4	
fractured	fracture	5	
fractures	fracture	4	
frontal sinus	sinuses	1	
frontal sinuses	sinuses	1	
fsh	follicle stimulating hormone	3	
ftt	failure to thrive	4	
g p	g p	5	
g p	general practitioner	5	
g p	gp	5	
gall stones	gallstones	5	
gallstones	gall stones	5	
gastric	stomach	3	
gastrocnaemius	calf	3	
gastrointestinal	gi	3	
general medicine	medical clinic	3	
general practitioner	g p	5	
general practitioner	gp	5	
general surgery	surgical clinic	3	
gestational diabetes	gestational diabetes mellitus	4	
gi	gastrointestinal	3	
given mmr	given mmr immunisation	3	
glucose	sugar	3	
glucose tolerance test	gtt	3	
good	normal	2	
good	preserved	5	
good left ventricular function	no lv impairment	4	
gord	gastro oesophageal reflux	3	
gp	g p	5	
gp	general practitioner	5	
grade 2	grade ii	5	
grade ii	grade 2	5	
grav	gravida	4	
gravida	grav	4	
great toe	big toe	5	
great toe	toe	1	
gtt	glucose tolerance test	3	
gynae	gynaecologist	3	
gynae	gynaecology	3	
gynaecological	gynaecology	3	
gynaecology	gynae	5	
gynaecology	gynaecological	3	
h / o	history of	5	
h ge	haemorrhage	1	
had go hospital	self referral to hospital	3	
had to go to hospital	self referral to hospital	3	
haemarroids	haemorrhoids	3	
haemolysis elev liver enzyme low platelets	hellp	3	
haemorhage	haemorrhage	5	
haemorrh	haemorrhage	5	
haemorrh	haemorrhages	5	
haemorrhage	bleed	4	
haemorrhage	bleeding	4	
haemorrhage	haemorhage	5	
haemorrhage	haemorrh	5	
haemorrhages	haemorrh	5	
hand	arm	1	
hand	foot	-100	
hand	upper limb	1	
hb a 1	hba 1 c	3	
hb a 1 c	hba 1 c	3	
hba 1	hba 1 c	3	
hba 1 c	hba 1	5	
head lice	nits	3	
head lice	pediculus capitis	3	
heart	cardiac	3	
hellp	haemolysis elev liver enzyme low platelets	3	
hemi block	hemiblock	3	
hemiblock	hemi block	3	
hep	hepatitis	3	
hepatic	liver	3	
hge	haemorrhage	1	
hip	hip joint	5	
hip	hips	3	
hip	lower limb	1	
hip joint	hip	5	
hips	hip	3	
history of	h / o	5	
hiv antibody	hiv	3	
hiv antibody test	hiv	3	
hiv infection	human immunodeficiency virus infection	5	
hodgkin	hodgkins	5	
hodgkins	hodgkin	5	
home from hospital	discharged from hospital	2	
home hospital	discharged from hospital	1	
hosp	hospital	5	
hosp adm	hospital admission	3	
hosp l	hospital	2	
hospital	hosp	5	
hospital	hosp l	2	
hospital	hospital care	3	
hospital admission	hospitalisation	3	
hospital admission	hospitalised	5	
hospital admission	hospitalization	3	
hospital admission	hospitalized	5	
hospital inpatient	been in hospital	2	
hospitalisation	hospital admission	3	
hospitalised	hospital admission	5	
hospitalised	hospitalized	5	
hospitalization	hospital admission	3	
hospitalized	hospital admission	5	
hospitalized	hospitalised	5	
hospl	hospital	2	
hour	hr	4	
hr	hour	4	
ht	hypertension	2	
htn	hypertension	3	
human immunodeficiency virus	human immunodeficiency virus infection	3	
human immunodeficiency virus infection	hiv infection	5	
humeral	humerus	5	
humerus	humeral	5	
hypert	hypertension	3	
hyperten	hypertension	3	
hypertens	hypertension	3	
hypertensi	hypertension	3	
hypertensio	hypertension	3	
hyperthyroidism	thyrotoxicosis	5	
hypotensive	hypotension	3	
hypothyroidism	thyroid deficiency	5	
hypoxaemic	hypoxemic	5	
hypoxaemic	hypoxic	5	
hypoxemic	hypoxaemic	5	
hypoxemic	hypoxic	5	
hypoxic	hypoxaemic	5	
hypoxic	hypoxemic	5	
i / p	inpatient	3	
i d d m	insulin dependent diabetes mellitus	4	
i h d	ischaemic heart disease	4	
i t p	idiopathic thrombocytopenic purpura	4	
i t u	intensive care unit	5	
i t u	intensive therapy unit	5	
ibd	inflammatory bowel disease	4	
ibs	irritable bowel syndrome	4	
iddm	insulin dependent diabetes mellitus	4	
idiopathic thrombocytopenic purpura	i t p	4	
idiopathic thrombocytopenic purpura	itp	4	
ihd	ischaemic heart disease	4	
illness	disorder	2	
immune deficiency	immunodeficiency	5	
immunisation	immunisation against	3	
immunisation	immunization	5	
immunisation	immunization against	3	
immunisation	vaccination	5	
immunisation against	immunisation	3	
immunisation against	immunization	3	
immunization	immunisation	5	
immunization	immunisation against	3	
immunization	immunization against	3	
immunization	vaccination	5	
immunization against	immunisation	3	
immunization against	immunization	3	
immunodeficiency	immune deficiency	5	
impair	impairment	3	
impaired	impairment	4	
impaired	impired	5	
impaired left ventricle	impaired left ventricular function	5	
impaired left ventricular function	impaired left ventricle	5	
impaired left ventricular function	left ventricular failure	5	
impaired left ventricular function	left ventricular impairment	5	
impaired left ventricular function	lv impaired	4	
impaired left ventricular function	lv impairment	4	
impaired lv	left ventricular impairment	3	
impaired lv function	left ventricular impairment	5	
impairment	dysfunction	3	
impairment	failure impairment	3	
impairment	impair	3	
impairment	impaired	4	
impired	impaired	5	
in hosp	inpatient	2	
in hospital	inpatient	2	
in hospital	inpatient hospital	2	
in patient	inpatient	2	
incisional henia	incisional hernia	2	
index finger	finger	1	
infarc	infarction	4	
infarct	infarction	4	
infarction	infarc	4	
infarction	infarct	4	
infec	infected	4	
infec	infection	4	
infected	infec	4	
infected	infection	3	
infection	infec	4	
infection	infected	3	
inflammatory bowel disease	ibd	4	
influenza	flu	5	
inguinal henia	inguinal hernia	2	
injured	injury	4	
injuries	injury	5	
injury	injured	4	
injury	injuries	5	
inpatient	hospital inpatient	1	
insulin dependent diabetes mellitus	i d d m	4	
insulin dependent diabetes mellitus	iddm	4	
intensive care unit	i t u	5	
intensive care unit	itu	5	
intensive therapy unit	i t u	5	
intensive therapy unit	itu	5	
intercranial	intracranial	2	
interphalangeal	ip	3	
interphalangeal joint	ipj	3	
intervertebral disc space	disc space	5	
intolerance	intolerant	5	
intolerant	intolerance	5	
intra uterine growth retardation	iugr	4	
intraductal	ductal	2	
ip	interphalangeal	3	
